WORD;;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
startowaæ (o samolocie);;2;v;2;to take off;;
pu³apka;;2;n;2;trap;;
skarb;;2;n;2;treasure;;
pragnienie, chêæ;;2;n;3;urge;;
zró¿nicowany;;2;adj;2;varied;;
rozleg³y;;2;adj;2;vast;;
przemoc;;2;n;2;violence;;
ochotnik;;2;n;2;volunteer;;
wieloryb;;2;n;1;whale;;
schronisko m³odzie¿owe;;2;n;2;youth hostel;;
dostêp;;3;n;2;access;;
coroczny;;3;adj;2;annual;;
w przybli¿eniu, oko³o;;3;adv;2;approximately;;
dostêpnoœæ;;3;n;2;availability;;
niewype³niony, pusty;;3;adj;2;blank;;
premia;;3;n;1;bonus;;
szerokopasmowy;;3;adj;2;broadband;;
bud¿et;;3;n;1;budget;;
stanowi¹cy wyzwanie;;3;adj;2;challenging;;
okolicznoœæ;;3;n;3;circumstance;;
kolega z pracy;;3;n;2;colleague;;
konkurencyjne wynagrodzenie;;3;n;2;competitive salary;;
skarga, reklamacja;;3;n;2;complaint;;
dogodny;;3;adj;2;convenient;;
list przewodni;;3;n;3;covering letter;;
¿yciorys;;3;n;3;curriculum vitae;;
zachwycony;;3;adj;2;delighted;;
projektant;;3;n;2;designer;;
po¿¹dany;;3;adj;2;desirable;;
dietetyk;;3;n;3;dietician;;
tuzin;;3;n;2;dozen;;
obowi¹zek;;3;n;1;duty;;
skutecznie;;3;adv;2;effectively;;
pracodawca;;3;n;1;employer;;
ocena;;3;n;2;evaluation;;
doœwiadczenie;;3;n;2;experience;;
broszura informacyjna;;3;n;2;factsheet;;
zaznajomiony, obeznany z;;3;adj;2;familiar with;;
stra¿ak;;3;n;1;firefighter;;
elastyczny;;3;adj;2;flexible;;
p³ynnie;;3;adv;2;fluently;;
niezale¿ny;;3;adj;2;freelance;do wynajêcia;wolny strzelec
pe³no-etatowy;;3;adj;2;full-time;;
wytworny, presti¿owy;;3;adj;2;glamorous;;
plotka;;3;n;2;gossip;;
absolwent;;3;n;2;graduate;;
ogrzewanie;;3;n;1;heating;;
wskazówka, podpowiedŸ;;3;n;3;hint;;
przemys³;;3;n;2;industry;;
rozmowa kwalifikacyjna;;3;n;1;job interview;;
dziennikarz;;3;n;1;journalist;;
prawnik;;3;n;2;lawyer;;
ulotka;;3;n;2;leaflet;;
czas wolny, wypoczynek;;3;n;2;leisure;;
cel;;3;n;2;objective;;
sposobnoœæ, okazja;;3;n;2;opportunity;;
otwarty, towarzyski;;3;adj;2;outgoing;;
niepe³noetatowy;;3;adj;2;part-time;;
emerytura;;3;n;3;pension;;
dodatek niepieniê¿ny;;3;n;3;perk;œwiadczenie pozap³acowe;
punkt widzenia;;3;n;2;point of view;;
bezcelowy, bezsensowny;;3;adj;2;pointless;;
zapytanie;;3;n;3;query;;
nag³y;;3;adj;2;rapid;;
detaliczny;;3;adj;3;retail;;
op³acalny, cenny;;3;adj;2;rewarding;;
goniec;;3;n;2;runner;;
kierownik sprzeda¿y;;3;n;1;sales manager;;
udzia³;;3;n;2;share;;
zmiana robocza, szychta;;3;n;2;shift;;
wkrótce, niebawem;;3;adv;3;shortly;;
drapacz chmur;;3;n;2;skyscraper;;
status;;3;n;1;status;;
gie³da papierów wartoœciowych;;3;n;3;stock market;;
kaskader;;3;n;2;stunt double;;
dostawca;;3;n;2;supplier;;
wsparcie;;3;n;2;support;;
chirurg;;3;n;2;surgeon;;
sonda¿;;3;n;3;survey;;
opalenizna;;3;n;2;tan;;
czasoch³onny;;3;adj;3;time-consuming;;
doceniaæ;;3;v;2;to appreciate;;
doje¿d¿aæ do pracy;;3;v;2;to commute;;
zawieraæ;;3;v;2;to contain;;
podzieliæ;;3;v;2;to divide;;
k³aœæ nacisk, podkreœlaæ;;3;v;3;to emphasise;;
oczekiwaæ;;3;v;2;to expect;;
zyskaæ, osi¹gn¹æ;;3;v;2;to gain;;
wahaæ siê;;3;v;2;to hesitate;;
podkreœlaæ, uwydatniaæ;;3;v;3;to highlight;;
wywrzeæ wra¿enie, imponowaæ;;3;v;2;to impress;;
udoskonaliæ;;3;v;2;to improve;;
inspirowaæ;;3;v;1;to inspire;;
szukaæ;;3;v;2;to seek;;
praktyka studencka, sta¿;;3;n;3;work placement;;
akcent;;4;n;1;accent;;
zakwaterowanie;;4;n;2;accommodation;;
przymiotnik;;4;n;2;adjective;;
przys³ówek;;4;n;2;adverb;;
sprawa;;4;n;2;affair;;
w przybli¿eniu;;4;adv;3;approximately;;
ustalenie;;4;n;2;arrangement;;
tryktrak;;4;n;3;backgammon;;
wykres s³upkowy;;4;n;3;bar chart;;
korzyœæ;;4;n;2;benefit;;
dwujêzyczny;;4;adj;2;bilingual;;
gra planszowa;;4;n;2;board game;;
zwiêz³y, krótki;;4;adj;2;brief;;
studium przypadku;;4;n;3;case study;;
organizacja dobroczynna;;4;n;2;charity;;
szachy;;4;n;2;chess;;
spo³ecznoœæ, wspólnota;;4;n;2;community;;
zagmatwany, myl¹cy;;4;adj;2;confusing;;
dogodnoœæ;;4;n;3;convenience;;
intensywny kurs;;4;n;3;crash course;;
dialekt;;4;n;1;dialect;;
katastrofa;;4;n;2;disaster;;
trzêsienie ziemi;;4;n;2;earthquake;;
gospodarka;;4;n;2;economy;;
wysi³ek;;4;n;2;effort;;
ca³y, ca³kowity;;4;adj;2;entire;;
œrodowisko;;4;n;2;environment;;
istotny;;4;adj;3;essential;;
wydarzenie;;4;n;2;event;;
wyginiêcie, wymarcie;;4;n;3;extinction;;
udogodnienie;;4;n;3;facility;;
dane liczbowe;;4;n;2;figures;;
p³ynnie, biegle;;4;adv;2;fluently;;
jêzyk obcy;;4;n;2;foreign language;;
osoba kwestuj¹ca;;4;n;3;fundraiser;;
rz¹d pañstwa;;4;n;2;government;;
garstka;;4;n;2;handful;;
osoba o wysokich aspiracjach;;4;n;3;high flyer;;
rasa ludzka, ludzkoœæ;;4;n;2;human race;;
to¿samoœæ;;4;n;2;identity;;
przemys³;;4;n;2;industry;;
intencja;;4;n;1;intention;;
³acina;;4;n;2;Latin;;
wyk³ad;;4;n;2;lecture;;
umiejêtnoœæ czytania i pisania;;4;n;2;literacy;;
wiêkszoœæ;;4;n;2;majority;;
ssak;;4;n;3;mammal;;
mniejszoœæ;;4;n;2;minority;;
wniosek formalny;;4;n;3;motion;;
muzyczny;;4;adj;1;musical;;
rodzimy u¿ytkownik jêzyka;;4;n;3;native speaker;;
rzeczownik;;4;n;1;noun;;
ropa;;4;n;2;oil;olej;
staromodny;;4;adj;2;old-fashioned;;
sonda¿ opinii;;4;n;3;opinion poll;;
zarys;;4;n;3;outline;;
pakiet;;4;n;2;package;;
punkt widzenia;;4;n;2;point of view;;
studia magisterskie;;4;adj;2;postgraduate studies;studia podyplomowe;
przewidywanie;;4;n;2;prediction;;
wymowa;;4;n;2;pronunciation;;
w³aœciwie, poprawnie;;4;adv;2;properly;;
propozycja;;4;n;2;proposal;;
cel;;4;n;2;purpose;;
powód;;4;n;2;reason;;
odrodzenie, o¿ywienie;;4;n;3;revival;;
wiejski;;4;adj;3;rural;;
stanowisko kierownicze;;4;n;2;senior position;;
powa¿nie;;4;adv;2;seriously;;
znacz¹cy, znaczny;;4;adj;2;significant;;
slang;;4;n;1;slang;;
nieznacznie;;4;adv;2;slightly;;
ortografia, pisownia;;4;n;1;spelling;;
rzecznik;;4;n;3;spokesperson;;
kadra, personel;;4;n;2;staff;;
fala przyp³ywu;;4;n;3;tidal wave;;
zaadaptowaæ (siê);;4;v;1;to adapt;;
wp³ywaæ na coœ, oddzia³ywaæ;;4;v;2;to affect;;
celowaæ, kierowaæ do kogoœ;;4;v;2;to aim at sb;;
pozwoliæ;;4;v;2;to allow;;
przeprowadziæ coœ;;4;v;3;to carry out;;
zrozumieæ, za³apaæ;;4;v;3;to catch on;;
rzuciæ wyzwanie;;4;v;2;to challenge;;
twierdziæ;;4;v;2;to claim;;
przeprowadziæ coœ;;4;v;2;to conduct;;
zwlekaæ, opóŸniaæ;;4;v;2;to delay;;
spustoszyæ, zdewastowaæ;;4;v;2;to devastate;;
wymieraæ, wygin¹æ;;4;v;2;to die out;;
rozczarowaæ;;4;v;2;to disappoint;;
rysowaæ;;4;v;2;to draw;;
zachêcaæ;;4;v;2;to encourage;;
stworzyæ, za³o¿yæ, ustanowiæ;;4;v;2;to establish;;
szacowaæ;;4;v;2;to estimate;;
zawieœæ;;4;v;2;to fail;nie zdaæ;
zostawaæ w tyle;;4;v;3;to fall behind;;
prze¿yæ, poradziæ sobie;;4;v;3;to get by;;
nad¹¿aæ za kimœ, dorównaæ;;4;v;3;to keep up with sb;;
zawieœæ;;4;v;2;to let sb down;;
zezwoliæ;;4;v;2;to permit;;
³atwo siê czegoœ nauczyæ ;;4;v;3;to pick sth up;;
zapobiegaæ;;4;v;2;to prevent;;
odnosiæ siê do, nawi¹zywaæ;;4;v;2;to refer;;
odrzuciæ;;4;v;2;to reject;;
cierpieæ;;4;v;2;to suffer;;
prze¿yæ, przetrwaæ;;4;v;2;to survive;;
zaj¹æ siê czymœ;;4;v;3;to take sth up;;
œlad;;4;n;2;trace;;
czasownik;;4;n;1;verb;;
walc;;4;n;1;waltz;;
strata czasu;;4;n;2;waste of time;;
doros³y;;5;n;2;adult;;
reklama;;5;n;2;advert;;
reklamodawca;;5;n;2;advertiser;;
alternatywa;;5;n;2;alternative;;
zabawny, rozbawiaj¹cy;;5;adj;2;amusing;;
antyczny;;5;adj;1;antique;;
uwaga;;5;n;2;attention;;
przykuwaj¹cy uwagê;;5;adj;3;attention-grabbing;;
t³o;;5;n;2;background;;
przekonanie;;5;n;2;belief;;
burza mózgów;;5;n;2;brainstorm;;
marka (produktu);;5;n;3;brand;;
kampania;;5;n;1;campaign;;
karton;;5;n;2;carton;;
kreskówka;;5;n;2;cartoon;;
chwytliwy;;5;adj;2;catchy;;
p³atki œniadaniowe;;5;n;2;cereal;;
poœcig, pogoñ;;5;n;3;chase;;
wybór;;5;n;2;choice;;
og³oszenie drobne;;5;n;3;classified ad;;
sprytny;;5;adj;2;clever;;
kodeks;;5;n;2;code;kod;
reklama radiowo-telewizyjna;;5;n;2;commercial;;
wspólny;;5;adj;2;common;;
konkurent;;5;n;3;competitor;;
troska;;5;n;2;concern;zaniepokojenie;
zachowanie;;5;n;2;conduct;;
s³odycze;;5;n;3;confectionery;;
konsument;;5;n;1;consumer;;
zawartoœæ;;5;n;2;content;;
kreatywny;;5;adj;1;creative;;
krytyczny;;5;adj;1;critical;;
pragnienie, ¿¹dza;;5;n;2;desire;;
odleg³y;;5;adj;2;distant;;
têpy, nudny;;5;adj;2;dull;;
wydawca;;5;n;2;editor;;
przyci¹gaj¹cy wzrok;;5;adj;3;eye-catching;;
t³uszcz;;5;n;2;fat;;
formu³a;;5;n;1;formula;;
efekciarski;;5;adj;3;gimmicky;;
ulotka;;5;n;3;handbill;;
drastyczny;;5;adj;3;hard-hitting;twardy, bezkompromisowy;
szkodliwy;;5;adj;2;harmful;;
artyku³ gospodarstwa domowego;;5;n;3;household good;;
wizerunek;;5;n;3;image;;
wyobraŸnia;;5;n;2;imagination;;
natychmiast;;5;adv;2;immediately;;
niezdecydowanie;;5;n;3;indecision;;
napis;;5;n;3;inscription;;
inspiruj¹cy;;5;adj;2;inspirational;;
intryguj¹cy;;5;adj;2;intriguing;;
irytuj¹cy;;5;adj;2;irritating;;
œmieciowe jedzenie;;5;n;2;junk food;;
¿wawy, pe³en ¿ycia;;5;adj;3;lively;;
logo;;5;n;1;logo;;
g³ównie;;5;adv;2;mainly;;
wytwórca;;5;n;2;manufacturer;;
medium, noœnik;;5;n;1;medium;;
pamiêtny;;5;adj;2;memorable;niezapomniany;
przes³anie;;5;n;2;message;wiadomoœæ;
metoda;;5;n;1;method;;
myl¹cy, wprowadzaj¹cy w b³¹d;;5;adj;2;misleading;;
mieszanka;;5;n;2;mixture;;
zauwa¿alny;;5;adj;2;noticeable;;
opakowanie;;5;n;2;packaging;;
papirus;;5;n;1;papyrus;;
okres;;5;n;2;period;;
przekonuj¹cy;;5;adj;3;persuasive;;
mnóstwo;;5;n;1;plenty of;;
liczba mnoga;;5;n;2;plural;;
plakat;;5;n;1;poster;;
potê¿ny, mocny;;5;adj;2;powerful;;
przyimek;;5;n;3;preposition;;
lokowanie produktu;;5;n;3;product placement;;
rozg³os;;5;n;3;publicity;;
publicznie;;5;adv;2;publicly;;
czysto, wy³¹cznie;;5;adv;2;purely;;
zakres, asortyment;;5;n;2;range;;
ocena;;5;n;3;rating;;
rozpoznawalny;;5;adj;3;recognisable;;
sprzeda¿, wyprzeda¿;;5;n;2;sale;;
sól;;5;n;2;salt;;
us³uga;;5;n;2;service;;
slogan;;5;n;1;slogan;;
napój bezalkoholowy;;5;n;3;soft drink;;
rozwi¹zanie;;5;n;2;solution;;
wyszukany, wyrafinowany;;5;adj;2;sophisticated;;
sponsorowanie, patronat;;5;n;2;sponsorship;;
rygorystyczny;;5;adj;2;strict;surowy;
subtelny;;5;adj;1;subtle;;
suma;;5;n;1;sum;;
opowieœæ, bajka;;5;n;3;tale;;
motyw;;5;n;2;theme;;
reklamowaæ;;5;v;2;to advertise;;
pozwoliæ sobie na coœ;;5;v;3;to afford;;
aprobowaæ, zatwierdzaæ;;5;v;2;to approve;;
przyci¹gaæ uwagê;;5;v;2;to attract attention;;
narzekaæ;;5;v;2;to complain;z³o¿yæ reklamacjê;
konkludowaæ;;5;v;2;to conclude;;
broniæ;;5;v;2;to defend;;
zniechêcaæ;;5;v;3;to discourage;;
rozpraszaæ, dekoncentrowaæ;;5;v;3;to distract;;
zachwalaæ, lansowaæ;;5;v;3;to endorse;;
wybuchn¹æ (o wulkanie);;5;v;2;to erupt;;
prezentowaæ;;5;v;3;to feature;;
przestraszyæ;;5;v;2;to frighten;;
przera¿aæ;;5;v;2;to horrify;;
narzucaæ;;5;v;3;to impose;;
zwiêkszyæ (siê), rosn¹æ;;5;v;2;to increase;;
wynaleŸæ;;5;v;2;to invent;;
znokautowaæ;;5;v;2;to knock sb down;powaliæ kogoœ;
odpaliæ;;5;v;2;to launch;wprowadziæ produkt ;
motywowaæ;;5;v;1;to motivate;;
przekazaæ, podaæ;;5;v;2;to pass;;
wlewaæ;;5;v;2;to pour;laæ;
drukowaæ;;5;v;1;to print;;
promowaæ;;5;v;1;to promote;;
regulowaæ;;5;v;1;to regulate;;
rozwiazaæ;;5;v;3;to resolve;postanowiæ;
jeŸdziæ na ³y¿worolkach;;5;v;2;to rollerblade;;
szokowaæ;;5;v;1;to shock;;
sponsorowaæ;;5;v;1;to sponsor;;
twierdziæ, wyraziæ;;5;v;2;to state;;
s³odziæ;;5;v;2;to sweeten;;
celowaæ;;5;v;2;to target;;
urozmaicaæ;;5;v;2;to vary;ró¿niæ siê;
unikalny;;5;adj;1;unique;;
denerwuj¹cy, niepokoj¹cy;;5;adj;2;upsetting;;
portfel;;5;n;2;wallet;;
cotygodniowy;;5;ad;2;weekly;;
dowcipny, b³yskotliwy;;5;adj;2;witty;;
szeptana (o reklamie);;5;adj;3;word-of-mouth;;
nadgarstek;;5;n;3;wrist;;
dodatek;;6;n;3;accessory;;
obs³uga posprzeda¿owa;;6;n;2;after-sales service;;
agenda;;6;n;1;agenda;;
widocznie;;6;adv;2;apparently;;
Azja;;6;n;1;Asia;;
pomoc;;6;n;3;assistance;;
przynajmniej;;6;adv;2;at least;;
