WORD;UNIT;CAT;DIF;TRANS1;TRANS2;TRANS3
kreatywny;1;adj;1;creative;;
nietkniêty;2;adj;3;crisp;œwie¿y;
krytyk;1;n;1;critic;;
kultura;2;n;1;culture;;
zaciekawiony;2;adj;2;curious;;
obecnie;1;adv;2;currently;;
obyczaj;2;n;2;custom;;
klient;2;n;2;customer;;
odprawa celna;2;n;3;customs;;
rowerzysta;1;n;2;cyclist;;
œwit;2;n;3;dawn;;
opóŸnienie;2;n;2;delay;;
opis;2;n;2;description;;
pustynia;2;n;2;desert;;
punkt docelowy podró¿y;2;n;3;destination;;
zdeterminowany;1;adj;2;determined;;
ró¿nica;1;n;1;difference;;
nurek;2;n;2;diver;;
film dokumentalny;2;n;2;documentary;;
marzenie;1;n;1;dream;;
wydma;2;n;2;dune;;
obowi¹zek;1;n;2;duty;;
wyluzowany;1;adj;3;easy-going;swobodny;
krawêdŸ;2;n;2;edge;;
wysi³ek;1;n;2;effort;;
ambasada;2;n;2;embassy;;
pracobiorca;1;n;2;employee;;
in¿ynier;1;n;1;engineer;;
rozrywka;1;n;2;entertainment;;
entuzjastyczny;1;adj;2;enthusiastic;;
œrodowisko;2;n;2;environment;;
równoœæ;1;n;3;equality;;
esej;1;n;1;essay;;
europejski;2;adj;2;European;;
wydarzenie;2;n;2;event;;
zrównowa¿ony;1;adj;3;even-tempered;;
dok³adny;2;adj;2;exact;;
wyj¹tkowo;2;adv;2;exceptionally;;
wysokie stanowisko kierownicze;1;n;3;executive;;
wyczerpanie;1;n;3;exhaustion;;
egzotyczny;2;adj;1;exotic;;
ekspedycja;2;n;1;expedition;;
doœwiadczenie;1;n;2;experience;;
ekspert;1;n;1;expert;;
badacz;2;n;2;explorer;odkrywca;
rozleg³y;2;adj;2;extensive;obszerny;
fragment, urywek;1;n;3;extract;;
ekstrawertyk;1;n;2;extrovert;;
s³awa;1;n;2;fame;;
s³awny;1;adj;1;famous;;
daleki, odleg³y;2;adj;2;faraway;;
moda;1;n;1;fashion;;
wina;1;n;2;fault;;
dziki, niebezpieczny;2;adj;3;fierce;;
re¿yser;1;n;1;film director;;
po pierwsze;1;adv;1;firstly;;
wysportowany;1;adj;2;fit;;
elastyczny;1;adj;2;flexible;;
zagraniczny;2;adj;2;foreign;;
by³y, dawny;1;adj;3;former;;
czêsto;1;adv;2;frequently;;
przyjazny;1;adj;1;friendly;przyjacielski;
przyjaŸñ;2;n;2;friendship;;
luka;1;n;2;gap;;
szczodry;1;adj;2;generous;hojny;
delikatny;2;adj;2;gentle;;
wyg³osiæ pogadankê;1;v;3;give a talk;;
rz¹d;2;n;2;government;;
wielki;2;adj;1;great;;
nawykowy;1;adj;2;habitual;;
pismo odrêczne;1;n;2;handwriting;;
szczêœcie;1;n;1;happiness;;
pracowity;1;adj;1;hard-working;;
krzywda;1;n;3;harm;;
zdrowo;1;adv;2;healthily;;
upa³;1;n;2;heat;;
wysokoœæ;2;n;2;height;;
piesza wycieczka;1;n;3;hiking;;
wzgórze;2;n;1;hill;;
zator, korek;2;n;3;hold-up;;
urlopowicz;2;n;2;holidaymaker;wczasowicz;
œwiêty;2;adj;2;holy;;
miasto rodzinne;2;n;2;home town;;
horoskop;1;n;1;horoscope;;
jednak¿e;1;adv;3;however;;
sza³as;2;n;3;hut;chata;
wa¿ny;1;adj;2;important;;
niedogodnoœæ;2;n;3;inconvenience;niewygoda;
niesamowity;2;adj;2;incredible;niewiarygodny;
niezdecydowany;1;adj;3;indecisive;;
niezale¿ny;1;adj;2;independent;;
nieunikniony;2;adj;2;inevitable;;
wp³yw;1;n;2;influence;;
szczepienie;2;n;3;inoculation;;
sk³adka ubezpieczeniowa;1;n;3;insurance premium;;
wywiad;1;n;2;interview;;
introwertyk;1;n;2;introvert;;
wynalazca;1;n;2;inventor;;
nieregularny;2;adj;2;irregular;;
wyspa;1;n;2;island;;
w³oski;1;adj;1;Italian;;
zazdrosny;1;adj;2;jealous;;
dziennikarz;1;n;2;journalist;;
podró¿;2;n;2;journey;;
os¹d;1;n;2;judgement;;
sweter;1;n;2;jumper;;
¿yczliwy;1;adj;2;kind;;
wiedza;1;n;2;knowledge;;
prawnik;1;n;2;lawyer;;
wyk³adowca;1;n;2;lecturer;;
legendarny;2;adj;2;legendary;;
d³ugoœæ;2;n;2;length;;
opanowany;1;adj;3;level-headed;;
bibliotekarz;1;n;2;librarian;;
sympatyczny;1;adj;2;likeable;;
lew;2;n;1;lion;;
literacki;2;adj;2;literary;;
¿wawy;1;adj;2;lively;;
magia;1;n;2;magic;;
g³ówny;2;adj;2;main;;
g³ówny;2;adj;2;major;;
makija¿;1;n;2;make-up;;
mêski;1;adj;2;male;;
zarz¹dzanie;1;n;2;management;;
za³ogowy;2;adj;3;manned;;
dojrza³y;1;adj;3;mature;;
pomiar;1;n;3;measurement;;
pó³noc (godzina);2;n;1;midnight;;
drobny, drugorzêdny;1;adj;3;minor;;
lustro;1;n;2;mirror;;
z³e zachowanie;2;n;3;misbehaviour;;
misja;2;n;1;mission;;
model;1;n;1;model;;
jednoszynowy;1;adj;3;monorail;;
humorzasty;1;adj;2;moody;kapryœny;
ruch;1;n;2;movement;;
muzeum;2;n;1;museum;;
muzyk;1;n;2;musician;;
narodowoœæ;1;n;1;nationality;;
rodzimy;2;adj;3;native;ojczysty;
marynarka wojenna;2;n;3;navy;;
neutralny;1;adj;1;neutral;;
niestosuj¹cy przemocy;1;adj;3;non-violent;pokojowy;
w dzisiejszych czasach;1;adv;3;nowadays;;
jedynak;1;n;3;only child;;
wolny od uprzedzeñ;1;adj;2;open-minded;o otwartym umyœle;
sposobnoœæ;2;n;3;opportunity;okazja;
nadwra¿liwy;1;adj;3;over-sensitive;;
wycieczka zorganizowana;2;n;3;package tour;;
strona;1;n;1;page;;
przesz³oœæ;2;n;1;past;;
cierpliwy;1;adj;1;patient;;
przechodzieñ;1;n;3;pedestrian;;
wystêp;1;n;3;performance;;
okres;2;n;1;period;;
osobowoœæ;1;n;2;personality;;
zjawisko;2;n;3;phenomenon;;
pielgrzymka;2;n;3;pilgrimage;;
równina;2;n;3;plain;;
przyjemnoœæ;2;n;2;pleasure;;
policjant;1;n;1;police officer;;
uprzejmy;1;adj;2;polite;;
polityk;1;n;2;politician;;
polityka;1;n;2;politics;;
popularny;2;adj;1;popular;;
portret;1;n;2;portrait;;
ziemniak;2;n;1;potato;;
przedrostek;1;n;3;prefix;;
ciœnienie;1;n;2;pressure;;
poprzedni;2;adj;2;previous;;
szko³a podstawowa;2;n;1;primary school;;
wiêzienie;1;n;2;prison;;
nagroda;2;n;2;prize;;
profesjonalny;1;adj;1;professional;;
programista;1;n;2;programmer;;
projekt;1;n;1;project;;
podpowiedŸ;1;n;3;prompt;;
wymowa;1;n;2;pronunciation;;
mienie, maj¹tek;1;n;3;property;;
psychiatra;1;n;2;psychiatrist;;
psychometria;1;n;3;psychometrics;;
publikacja;2;n;1;publication;;
cel;1;n;2;purpose;;
cichy;1;adj;1;quiet;spokojny;
tratwa;2;n;3;raft;;
wœciek³oœæ;1;n;3;rage;;
zakres;1;n;3;range;;
rzadki;1;adj;2;rare;;
powód;1;n;2;reason;;
rekrut;2;n;2;recruit;;
regularnie;1;adv;1;regularly;;
stosunkowo;1;adv;3;relatively;;
relaks;2;n;2;relaxation;odpoczynek;
niezawodny;1;adj;2;reliable;solidny;
religia;2;n;1;religion;;
badania naukowe;1;n;2;research;;
badacz;1;n;2;researcher;;
odpowiedzialny;1;adj;2;responsible;;
ryzyko;1;n;1;risk;;
bezpieczny;1;adj;1;safe;;
s³ona pustynia;2;n;3;salt-flat;;
piasek;2;n;2;sand;;
terminarz;1;n;3;schedule;harmonogram;
uczony;2;n;3;scholar;;
stypendium;2;n;2;scholarship;;
no¿yczki;1;n;2;scissors;;
nurkowanie z akwalungiem;2;n;3;scuba diving;;
mewa;2;n;3;seagull;;
po drugie;2;adv;2;secondly;;
sekretarz;1;n;1;secretary;;
pewny siebie;1;adj;2;self-confident;;
poœwiêcanie siê;1;n;3;self-sacrifice;wyrzeczenie;
pó³kole;1;n;3;semicircle;;
poczucie humoru;1;n;2;sense of humour;;
rozs¹dny;1;adj;2;sensible;;
wra¿liwy;1;adj;2;sensitive;czu³y;
powa¿ny;1;adj;2;serious;;
rekin;2;n;1;shark;;
nieœmia³y;1;adj;1;shy;;
widok;2;n;2;sight;wzrok;
znak;1;n;2;sign;;
sytuacja;1;n;1;situation;;
stok;2;n;3;slope;;
elegancki;1;adj;2;smart;;
towarzyski;1;adj;2;sociable;;
towarzystwo;2;n;2;society;;
autor piosenek;1;n;2;songwriter;;
Ÿród³o;1;n;2;source;;
statek kosmiczny;2;n;3;spacecraft;;
wolny czas;2;n;1;spare time;;
przestrzenny;1;adj;3;spatial;;
duch;2;n;2;spirit;;
personel, kadra;1;n;2;staff;;
gwiazda;1;n;1;star;;
twierdzenie;1;n;2;statement;;
stereotyp;1;n;1;stereotype;;
silny;2;adj;1;strong;;
z siln¹ wol¹;1;adj;2;strong-willed;;
styl;1;n;1;style;;
sugestia;1;n;1;suggestion;propozycja;
odpowiedni, nadaj¹cy siê;1;adj;2;suitable;;
zachód s³oñca;2;n;2;sunset;;
sonda¿;1;n;3;survey;;
podejrzliwie;2;adv;2;suspiciously;;
szwajcarski;1;adj;2;Swiss;;
wspó³czuj¹cy;1;adj;3;sympathetic;;
rozmowny;1;adj;2;talkative;gadatliwy;
mandarynka;1;n;3;tangerine;;
smak;1;n;2;taste;;
inspektor podatkowy;1;n;2;tax inspector;;
tymczasowy;1;adj;3;temporary;;
termin;1;n;3;term;okreœlenie;
pilot doœwiadczalny;2;n;3;test pilot;;
zak³ad tekstylny;2;n;2;textile plant;;
Beduini;2;n;3;the Bedu;;
kradzie¿;2;n;2;theft;;
teoria;1;n;1;theory;;
gruntownie;1;adv;3;thoroughly;;
rozwa¿ny;1;adj;3;thoughtful;zapobiegliwy;
wskazówka, porada;2;n;2;tip;;
mêcz¹cy;2;adj;2;tiring;;
nadu¿ywaæ;1;v;3;to abuse;;
towarzyszyæ;2;v;3;to accompany;;
osi¹gn¹æ;1;v;2;to achieve;;
pozwoliæ;1;v;2;to allow;;
analizowaæ;1;v;1;to analyse;;
og³osiæ;2;v;2;to announce;;
zdenerwowaæ;1;v;2;to annoy;;
pojawiæ siê;1;v;2;to appear;;
odnosiæ siê;1;v;2;to apply;stosowaæ;
kojarzyæ;1;v;3;to associate;;
usi³owaæ;2;v;2;to attempt;;
przyci¹gaæ;2;v;2;to attract;;
unikaæ;2;v;2;to avoid;;
po³kn¹æ haczyk;2;v;3;to be hooked;;
zachowywaæ siê;1;v;2;to behave;;
wierzyæ;1;v;2;to believe;;
graniczyæ ;2;v;2;to border;;
poszerzyæ;2;v;2;to broaden;;
odwo³aæ coœ;2;v;2;to cancel;;
kontynuowaæ;2;v;2;to carry on;;
przeprowadziæ;1;v;3;to carry out;;
spowodowaæ;1;v;2;to cause;;
wybieraæ;1;v;2;to choose;;
wspinaæ siê;2;v;2;to climb;;
porównaæ;1;v;2;to compare;;
rozwa¿aæ;1;v;2;to consider;;
sk³adaæ siê z;1;v;3;to consist of;;
przekonaæ;1;v;2;to convince;;
pokryæ;2;v;2;to cover;;
krytykowaæ;1;v;2;to criticise;;
uszkodziæ;1;v;2;to damage;;
zmniejszyæ;1;v;2;to decrease;;
opisaæ;2;v;2;to describe;;
projektowaæ;1;v;2;to design;;
zniszczyæ;1;v;2;to destroy;;
wymyœliæ;1;v;3;to devise;;
dyktowaæ;2;v;1;to dictate;;
odkryæ;2;v;2;to discover;;
dyskutowaæ;1;v;1;to discuss;;
rozpraszaæ;1;v;3;to distract;;
zarabiaæ;1;v;2;to earn;;
emigrowaæ;1;v;1;to emigrate;;
zatrudniæ;1;v;2;to employ;;
zachêcaæ;1;v;3;to encourage;;
cieszyæ siê z czegoœ;1;v;1;to enjoy;;
równaæ siê;1;v;2;to equal;;
zwiedzaæ;2;v;3;to explore;badaæ;
zakochaæ siê;2;v;2;to fall in love;;
przewróciæ siê;2;v;3;to fall over;;
fascynowaæ;2;v;1;to fascinate;;
karmiæ;2;v;2;to feed;;
dowiedzieæ siê;2;v;3;to find out;;
zwolniæ kogoœ z pracy;2;v;2;to fire sb;;
skupiaæ siê na czymœ;2;v;2;to focus on;;
wróciæ;2;v;2;to get back;;
dobrze siê dogadywaæ;2;v;3;to get on with sb;dogadywaæ siê z kimœ;
zaniechaæ, porzuciæ;1;v;3;to give up;;
ukoñczyæ (szko³ê);1;v;2;to graduate;;
przywitaæ;1;v;2;to greet;;
wyró¿niæ (markerem);1;v;3;to highlight;;
wyobraziæ sobie;1;v;2;to imagine;;
zwiêkszyæ;1;v;2;to increase;;
zamieszkiwaæ;2;v;3;to inhabit;zasiedlaæ;
inspirowaæ;1;v;1;to inspire;;
wtr¹caæ siê, zak³ócaæ;1;v;2;to interfere;;
przedstawiæ (kogoœ);1;v;2;to introduce;;
wynaleŸæ;1;v;2;to invent;;
wi¹zaæ siê z, dotyczyæ;1;v;3;to involve;;
s¹dziæ;1;v;3;to judge;;
uzasadniæ;2;v;3;to justify;;
brakowaæ;1;v;2;to lack;;
wystartowaæ (o rakiecie);2;v;3;to lift off;;
opiekowaæ siê;2;v;3;to look after;;
straciæ panowanie nad sob¹;1;v;2;to lose temper;;
mieæ znaczenie;1;v;2;to matter;;
mierzyæ;1;v;2;to measure;;
wymieniæ, wspomnieæ;1;v;2;to mention;;
Ÿle zrozumieæ;1;v;3;to misunderstand;;
niew³aœciwie u¿ywaæ;1;v;2;to misuse;;
uzyskaæ;2;v;2;to obtain;;
oferowaæ;1;v;1;to offer;;
organizowaæ;2;v;1;to organise;;
przewy¿szyæ w dzia³aniu;1;v;3;to outperform;;
przeceniaæ;1;v;3;to overrate;;
wyprzedzaæ (samochodem);1;v;3;to overtake;;
skakaæ ze spadochronem;2;v;3;to parachute;;
zdaæ;2;v;1;to pass;;
zemdleæ;1;v;3;to pass out;;
zauwa¿yæ;1;v;3;to point out;;
ukazywaæ;1;v;3;to portray;zagraæ kogoœ;
posiadaæ;1;v;2;to possess;;
chwaliæ kogoœ;2;v;2;to praise;;
przygotowaæ;1;v;2;to prepare;;
udowodniæ;2;v;2;to prove;;
osi¹gn¹æ, dotrzeæ;2;v;2;to reach;;
uœwiadomiæ sobie;2;v;2;to realise;;
rozpoznaæ;1;v;2;to recognise;;
przedefiniowaæ;1;v;2;to redefine;;
uwa¿aæ za;1;v;3;to regard;;
¿a³owaæ;1;v;2;to regret;;
wymagaæ;2;v;2;to require;;
szanowaæ;2;v;2;to respect;;
zaspokajaæ;2;v;3;to satisfy;;
wyruszyæ;2;v;3;to set out;;
kszta³towaæ;1;v;2;to shape;;
dzieliæ siê czymœ;1;v;2;to share;;
schroniæ siê;2;v;3;to shelter;;
strzelaæ;2;v;2;to shoot;;
rozwi¹zaæ;1;v;2;to solve;;
karmiæ ³y¿k¹;1;v;3;to spoon-feed;;
zatrzymaæ siê po drodze;2;v;3;to stop off;przerwaæ podró¿;
rozci¹gaæ (siê);2;v;3;to stretch;;
odnieœæ sukces;1;v;2;to succeed;;
odpowiadaæ (komuœ);1;v;2;to suit;;
podsumowaæ;1;v;1;to sum up;;
podsumowaæ;2;v;2;to summarise;;
wspieraæ;1;v;2;to support;;
otaczaæ;1;v;2;to surround;;
ocaleæ;2;v;2;to survive;prze¿yæ;
startowaæ (o samolocie);2;v;2;to take off;;
zaj¹æ siê czymœ;2;v;3;to take up;;
ufaæ;1;v;2;to trust;;
podkreœliæ;1;v;2;to underline;;
wzburzyæ;1;v;2;to upset;;
ceniæ;1;v;3;to value;;
martwiæ siê;1;v;2;to worry;;
tytoñ;2;n;3;tobacco;;
palec stopy;1;n;1;toe;;
pu³apka;2;n;2;trap;;
skarb;2;n;2;treasure;;
k³opot;2;n;2;trouble;;
bliŸniak;1;n;2;twin;;
potentat;1;n;3;tycoon;;
niew¹tpliwie;1;adv;3;undoubtedly;;
niestety;1;adv;3;unfortunately;;
unikalny;1;adj;2;unique;;
pragnienie, chêæ;2;n;3;urge;;
przydatny;1;adj;2;useful;;
wakat;2;n;3;vacancy;;
zró¿nicowany;2;adj;3;varied;;
rozleg³y;2;adj;3;vast;;
wegetariañski;1;adj;2;vegetarian;;
czasownik;1;n;2;verb;;
pogl¹d;1;n;2;view;;
wizja;1;n;1;vision;;
istotny;1;adj;2;vital;;
g³os;1;n;1;voice;;
laska;2;n;3;walking stick;;
serdeczny;1;adj;2;warm-hearted;;
wieloryb;2;n;1;whale;;
wózek inwalidzki;1;n;3;wheelchair;;
m¹droœæ;1;n;2;wisdom;;
pisarz;2;n;1;writer;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
